"anio_ingreso_universidad","sexo","edad","anio_egreso_secundaria","semestre_actual","beca_rendimiento","transporte_universidad","horas_estudio_dia","frecuencia_estudio_dia","modalidad_aprendizaje","smartphone","computadora_personal","horas_redes_sociales","nivel_ingles","asistencia_promedio","riesgo_academico","suspension_academica","tutorias_docentes","habilidades","horas_habilidades_dia","area_interes","estado_sentimental","actividades_extracurriculares","con_quien_vives","problemas_salud","discapacidad_fisica","creditos_completados","ingreso_familiar_anual","horas_clases_semanales","horas_sueno_dia","horas_ejercicio_semanal","tipo_transporte","horas_transporte_total","horas_trabajo_semanal","nota_semestre"
"2018","1","24","2016","12","1","0","3","2","0","1","1","5","1","90","0","0","1","46","2","8","5","1","0","0","0","75","25000","26","9","4","1","6","0","13.40"
"2021","1","22","2020","4","1","1","3","2","1","1","1","3","0","96","1","0","0","52","2","11","5","1","1","0","0","36","100000","18","8","4","1","4","5","13.40"
"2020","0","21","2019","5","0","0","3","3","0","1","1","3","1","80","0","0","1","42","1","17","5","0","0","0","0","50","50000","18","8","3","1","4","0","13.40"
"2021","1","20","2020","4","1","0","1","3","0","1","1","2","1","88","0","0","1","42","1","1","5","0","0","1","0","36","62488","17","8","4","2","3","0","13.40"
"2021","1","22","2019","4","1","0","3","1","1","1","1","2","1","80","0","0","1","42","1","17","4","0","0","1","0","36","50000","16","8","3","2","3","0","13.40"
"2021","1","20","2020","4","1","1","2","2","0","1","1","1","1","95","0","0","1","52","2","17","5","1","1","0","0","36","30000","18","9","5","1","4","0","13.40"
"2021","1","22","2018","4","1","0","2","4","1","1","1","2","1","80","0","0","0","52","6","17","5","0","0","1","0","36","20000","16","7","2","2","3","0","13.40"
"2021","0","22","2019","4","1","0","2","2","0","1","1","2","0","100","1","0","1","52","1","15","5","0","0","0","0","35","32500","18","10","4","1","4","0","19.00"
"2021","1","20","2020","4","1","0","3","2","0","1","1","2","1","90","0","0","0","42","3","17","5","0","0","0","0","36","20000","17","8","3","2","3","0","13.40"
"2021","0","22","2020","4","1","1","5","2","0","1","1","2","1","100","0","0","1","42","1","1","5","0","1","0","0","36","25000","20","8","2","1","4","0","13.40"
"2021","1","22","2019","4","1","1","3","2","1","1","1","3","1","90","0","0","1","42","1","17","5","1","1","0","0","36","50000","18","9","4","1","4","0","13.40"
"2021","1","22","2019","4","0","0","3","2","0","1","1","2","0","90","0","0","0","42","2","17","5","0","0","1","0","35","20000","14","8","3","2","3","0","17.00"
"2021","0","22","2020","4","0","1","1","1","0","1","1","1","0","100","0","0","1","42","2","17","5","0","1","0","0","36","50000","16","9","5","1","4","15","13.40"
"2021","0","21","2019","4","1","0","3","2","0","1","1","1","1","90","0","0","0","42","1","17","5","0","0","0","0","36","24000","17","8","3","2","3","0","13.40"
"2021","0","21","2018","4","0","1","2","2","0","1","1","1","0","97","0","0","0","42","2","17","5","0","1","0","0","36","70000","15","8","3","1","4","0","13.40"
"2021","1","20","2020","4","1","1","2","1","0","1","1","1","0","95","0","0","1","42","3","17","5","1","1","0","0","35","30000","18","10","5","1","4","0","19.65"
"2021","1","22","2019","4","1","1","5","3","1","1","1","1","1","95","0","0","1","42","2","14","5","1","1","0","0","36","40000","20","8","3","1","4","0","13.40"
"2021","0","21","2020","4","1","0","5","1","0","1","1","2","0","97","0","0","0","42","2","17","5","0","1","0","0","36","50000","17","8","2","2","4","0","13.40"
"2021","1","21","2020","4","1","0","1","2","1","1","1","3","2","70","0","0","1","42","2","17","4","0","1","0","0","35","62488","16","9","4","2","4","5","15.50"
"2021","1","19","2020","4","0","1","3","2","1","1","1","2","1","70","1","0","1","52","2","17","5","0","1","0","0","36","20000","15","8","3","1","4","15","13.40"
"2021","0","21","2019","4","1","0","3","2","0","1","1","2","1","96","0","0","1","52","1","22","5","1","0","0","0","34","30000","18","9","4","1","4","0","19.05"
"2021","1","21","2020","4","1","0","3","3","0","1","1","2","1","80","1","0","0","26","2","15","5","0","0","0","0","36","50000","17","8","2","2","3","0","13.40"
"2021","1","22","2020","4","1","0","2","1","0","1","1","2","1","98","0","0","1","52","2","17","5","1","0","0","0","36","20000","18","9","5","1","4","0","13.40"
"2020","0","21","2019","4","0","1","6","3","0","1","1","3","1","95","0","0","0","42","3","17","5","1","1","0","0","36","25000","18","7","2","1","4","15","13.40"
"2021","1","21","2020","4","1","1","1","1","1","1","1","1","2","85","0","0","1","6","2","14","5","1","0","1","0","35","35000","16","10","6","1","4","0","19.45"
